specObjID,plate,mjd,fiberID,ra,dec,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,h_alpha_flux_err,h_beta_flux_err,oiii_5007_flux_err,nii_6584_flux_err,snMedian_g
2223739789834741760,1975,53734,318,189.70333,31.984887,0.02316415,232.3506,92.8986,150.9112,287.5901,17.49063,11.24196,12.00662,17.08443,44.79461
2169769704900552704,1927,53321,584,126.75582,21.706779,0.01525247,261.6507,81.53497,244.1948,445.3258,8.819014,5.742215,10.5435,12.28467,58.89227
961652150918735872,854,52373,486,206.10368,5.1253418,0.02327884,78.75291,30.58701,73.78905,72.17674,5.710846,4.402474,5.594744,5.973481,40.16697
622786509254191104,553,51999,596,139.18968,53.442927,0.007464837,4717.712,1768.915,7271.119,338.3695,35.88542,15.52523,64.58867,5.51185,42.75439
644161295041456128,572,52289,533,150.18837,4.7343227,0.01323642,356.8911,133.17,197.7986,242.5154,10.80243,6.825459,7.789933,9.877389,45.34994
1006687326618806272,894,52615,483,126.9462,39.54708,0.02918801,3830.594,985.0577,297.0784,1592.368,33.77449,11.84476,7.264876,13.97022,41.57821
1013333050144090112,900,52637,84,140.62288,47.262443,0.03018908,95.95247,31.16889,63.11298,114.6861,7.320471,5.177053,5.454159,6.596263,44.31478
821991635763095552,730,52466,308,320.45351,10.656079,0.01670922,110.757,33.7346,67.93123,140.0918,9.720675,6.569688,7.907161,10.3972,40.62677
1105763217386268672,982,52466,471,311.83488,0.48405675,0.01410405,197.7394,105.3464,174.1039,204.1462,14.34755,10.71655,13.45686,15.78254,46.66988
2423060084700506112,2152,53874,449,226.53906,25.782781,0.02211325,457.5656,92.03091,71.18873,270.8259,8.89494,5.091664,5.758212,8.255996,40.2871
749902975203305472,666,52149,195,30.202577,-9.0025456,0.0158319,391.0006,114.9784,195.5715,408.2613,10.65167,6.461615,8.081614,11.29492,69.97863
750024746116081664,666,52149,638,31.079067,-8.7353057,0.0178122,169.2926,63.95876,132.0547,254.7631,10.85695,7.18668,8.729848,12.24442,71.98004
1918590669182494720,1704,53178,208,211.22808,12.70469,0.01383361,10021.19,3412.249,11558.62,880.2357,57.45699,22.70133,65.07277,7.98637,52.78305
2654998487875217408,2358,53797,460,162.05076,28.601791,0.005296941,1090.344,293.4624,1585.921,716.5037,17.75552,9.339648,21.61908,14.99033,43.38226
2661674171716626432,2364,53737,170,151.46387,20.804103,0.03801427,1349.172,310.544,110.8449,809.4822,11.69213,5.209929,4.58262,8.472859,42.30188
2478134347761215488,2201,53904,104,244.66505,15.55838,0.0297227,227.8456,62.44405,116.2104,271.7705,14.13984,8.330051,8.639659,13.09125,40.89598
2519825084957353984,2238,54205,222,191.32191,27.125597,0.003629681,10814.36,3700.566,12019.25,682.8312,64.54848,28.84831,71.55727,9.973587,64.33688
2796827797098620928,2484,54144,336,162.36352,21.780332,0.02381246,890.1371,209.088,53.59435,420.8114,15.56141,7.97067,8.470871,13.12358,40.88418
1792586083729434624,1592,52990,558,140.443,33.311141,0.02246832,314.4588,94.03584,41.67574,153.0956,4.60097,2.881345,3.027292,4.017834,41.81167
3132375113912051712,2782,54592,442,234.13202,16.607776,0.006562448,946.1257,217.6756,200.5896,667.1895,26.08099,13.44194,16.12222,25.87749,43.5029
417743534917969920,371,52078,126,327.82533,-0.95701783,0.02741746,575.3583,145.7529,68.33032,388.0303,9.972156,6.857899,7.524221,9.560595,55.77052
347988041941411840,309,51994,309,222.84758,0.0070933093,0.02316491,95.68777,24.40679,45.80608,83.46696,3.278936,2.602654,3.680894,3.938426,41.59986
2908302882170234880,2583,54095,376,147.70784,17.138424,0.02824144,436.732,91.74318,98.02604,474.3304,7.646266,4.243348,5.100046,7.849361,45.13086
3229216522308184064,2868,54451,493,156.75232,17.816761,0.0665514,1111.834,167.6909,95.08416,726.9317,6.541389,2.365611,2.495764,4.925529,54.75631
866958359717242880,770,52282,56,150.96618,59.436205,0.009996938,16079.74,4891.938,4134.91,5345.062,143.6027,41.92889,41.04472,38.2583,48.42717
1874774302792902656,1665,52976,549,50.51089,41.973506,0.01902402,62.98951,21.04591,40.61372,62.81833,3.671225,3.001461,3.279153,3.640547,48.2217
1812747831031654400,1610,53144,178,178.86959,11.968366,0.02121652,212.322,79.87676,118.0305,242.9499,15.76878,10.28835,10.6608,15.35538,45.53412
1828637152502638592,1624,53386,639,184.28201,7.6243974,0.007589578,536.1171,191.8363,274.8371,371.7639,27.47903,15.63037,16.14919,24.17208,51.58397
1829674537596250112,1625,53140,317,183.46002,7.2009005,0.008796161,228.567,84.0078,164.0984,216.8859,20.54951,14.24271,17.01678,21.29012,43.17704
1701331290810247168,1511,52946,351,40.667412,-0.011667,0.004194915,8420.575,2331.819,532.5941,2890.179,61.84837,24.97785,15.44969,27.67229,57.08649
1024729758681819136,910,52377,585,202.95212,-1.8935144,0.02116892,1173.12,293.0728,149.3976,532.6129,13.38056,6.503531,6.389229,9.15239,40.93768
1071919149015394304,952,52409,227,171.68461,59.155447,0.004019914,17429.35,3371.086,8295.316,2644.452,108.6633,27.29591,56.81057,21.8765,48.37878
1007788212065691648,895,52581,392,128.08516,41.35891,0.02504044,117.2329,45.76555,44.78548,152.6894,8.996938,6.178006,8.140673,10.86377,50.13791
1013425409120823296,900,52637,420,140.98055,49.504457,0.06910703,180.2654,25.15762,43.77901,215.7392,8.088827,4.971555,5.811851,8.021976,40.08084
2189913858540333056,1945,53387,140,147.01952,32.882502,0.005101494,4369.396,1413.284,3133.1,429.6342,38.36679,15.6532,31.77664,7.587276,41.77081
2995016423312484352,2660,54504,446,190.38112,26.042664,0.01593971,2006.124,530.2423,599.7603,1419.034,22.44577,10.16457,11.40984,18.44194,53.05114
2995021096236902400,2660,54504,463,190.09556,25.551475,0.02130541,48.38818,16.87301,54.69788,39.3265,4.218161,2.872849,4.31772,4.644541,40.72979
2790041335665551360,2478,54097,223,160.77493,20.422283,0.004412585,9633.144,2548.965,4906.175,1688.508,77.8957,25.64863,43.25146,18.03677,41.90935
2811419141200701440,2497,54154,171,171.20692,23.945232,0.023624,470.6015,104.3558,147.558,747.5219,18.81239,9.862594,11.40027,20.44901,40.3746
1794693572675528704,1594,52992,33,146.62876,34.916837,0.04144763,4204.322,1019.062,173.5253,3133.535,28.02799,11.76453,7.95469,19.68938,46.62212
393022933754210304,349,51699,305,252.08439,62.976435,0.0149755,5413.769,1058.584,221.8488,1898.237,29.58297,7.380199,4.399277,10.37977,56.60954
1606717491445262336,1427,52996,212,154.49243,37.181574,0.04418184,211.9384,51.40551,130.6609,310.5696,14.03021,8.772754,10.68668,14.95951,40.43766
3287670685471631360,2920,54562,156,188.927,-0.215192,0.0233556,2716.665,452.9144,157.364,1044.788,14.24396,3.745595,2.707805,5.922834,50.12986
1883801301410670592,1673,53462,621,218.67395,47.937794,0.02689073,174.4296,48.75182,71.1114,157.8564,7.777681,5.268108,5.540777,7.32542,41.63828
340022899698067456,302,51688,4,212.6118,-0.8323797,0.02539507,6541.773,1519.601,638.9077,3709.226,44.78582,17.74848,14.49786,28.83434,47.20484
585569419892123648,520,52288,369,187.58087,3.4535612,0.0487037,1068.022,183.6861,716.2837,776.9305,10.83635,5.343229,8.55501,9.131131,42.73426
