plate,mjd,fiberid,z,ra,dec,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw
276,51909,542,0.0404985,164.07116,0.67740347,778.0914,246.9893,709.8614,81.71263,25.47419,111.653,80.7011,-70.05837
276,51909,574,0.05430352,163.85478,1.0957353,216.3756,52.91023,33.44044,64.51249,7.880019,44.08939,28.84943,-23.85974
276,51909,587,0.03953943,164.3122,0.60673079,185.4875,53.72086,85.52585,32.7346,6.592678,38.45267,28.44868,-22.97963
276,51909,603,0.1556464,164.19857,0.89417815,19.53663,5.337556,6.287391,23.76427,4.709558,5.40341,4.32475,-1.7262
276,51909,616,0.09286904,164.24435,0.76939618,98.90117,28.22062,13.85282,52.76223,8.057676,24.24426,15.75936,-4.64632
276,51909,628,0.09507621,164.63417,0.51458683,45.59604,14.65574,5.864919,16.17573,0.8759755,12.49329,12.73334,-13.26178
277,51908,50,0.0334835,165.74061,-0.96209487,460.9021,113.265,19.21168,155.0727,8.404543,62.27793,51.32579,-30.69093
277,51908,129,0.157814,165.3241,-1.0041236,344.3152,71.31247,41.92619,104.6195,8.982596,71.6872,54.70317,-47.07861
277,51908,182,0.069855,165.53211,-0.43608461,450.076,119.7861,55.9781,182.0093,11.33845,85.40273,63.64583,-30.90763
277,51908,392,0.0499925,165.06445,0.42001914,92.61082,26.1361,17.9477,19.3344,2.421949,18.32408,14.79971,-23.92709
277,51908,408,0.1506296,165.15351,0.77591031,375.0745,65.14471,23.96797,142.7839,4.12864,45.89077,22.68403,-26.39671
277,51908,448,0.1775781,165.2768,1.2451583,72.73593,9.550999,24.32232,53.98129,4.978223,11.7095,1.237908,-14.59965
277,51908,500,0.1117286,165.75983,0.62001967,122.5289,28.67688,18.09927,71.58304,6.241865,24.78394,16.81922,-6.075634
278,51900,48,0.09037574,167.71908,-1.03051,21.57483,8.180532,22.32254,38.52967,5.785107,12.92167,13.76947,-1.060024
278,51900,170,0.1543602,167.40346,-0.40578144,67.82212,10.89774,2.867388,22.82763,0.8351182,14.56801,6.543922,-9.464791
278,51900,198,0.06551905,167.33399,-0.44040512,166.8302,29.63984,26.17099,89.68963,5.602844,26.98171,15.19116,-7.181806
278,51900,201,0.1266858,166.84477,-1.0777545,119.3497,29.30453,9.504581,39.2727,3.286077,23.69984,14.472,-15.85467
278,51900,212,0.08937376,166.89401,-0.83251325,70.78226,16.59594,14.31293,62.13133,3.941826,31.5256,19.59819,-2.622117
278,51900,371,0.1281074,166.57692,1.0216135,51.54034,10.21283,5.372005,29.68948,3.440557,10.28057,9.780418,-5.502641
278,51900,411,0.141829,166.93632,0.99755948,250.715,43.41477,10.6369,136.6182,1.928835,29.37494,27.54541,-25.60392
278,51900,462,0.02485563,167.16509,0.28432082,633.0052,177.0401,140.6536,285.5137,141.884,244.7906,170.1114,-6.848454
278,51900,586,0.0965984,168.03745,0.65944052,63.70766,16.03668,2.123014,25.8977,2.567563,10.71353,8.183538,-6.926966
279,51984,193,0.02768295,168.76453,-0.46018822,107.3111,39.4111,63.67599,10.70202,5.444344,22.3821,14.34886,-32.09152
