#Table1
plate,mjd,fiberid,z,ra,dec,h_beta_flux,h_beta_eqw,oiii_5007_flux,h_gamma_flux,ratio_oiii_hbeta,ratio_hbeta_hgamma,ratio_oiii_hgamma,approx_ebv_sfd,fwhm_hbeta_kms
1848,54180,128,0.2395968,233.12139,26.206696,219.5056,-12.43425,117.5715,88.49477,0.5356195,2.480436,1.32857,0.04767947,1177.41002251547
1849,53846,220,0.1871394,235.5538,25.0842,448.8863,-17.34232,316.4507,146.4841,0.7049685,3.064402,2.160307,0.03667932,1177.41002251547
374,51791,142,0.09911174,333.92624,-0.60271921,1143.236,-15.84841,2143.936,481.3309,1.875322,2.375156,4.454183,0.08578989,1177.41002251547
1774,53759,602,0.231364,202.81516,14.980478,266.3202,-11.67103,420.2034,119.3349,1.577813,2.231704,3.521212,0.01794577,1177.41002251547
1775,53847,561,0.161348,204.20669,14.926483,262.1757,-24.22952,826.6064,111.9402,3.152872,2.342106,7.38436,0.02193471,1177.41002251547
1776,53858,612,0.1341881,206.77046,14.693794,1311.827,-13.2989,881.886,560.2008,0.6722579,2.341709,1.574232,0.02768977,1177.41002251547
1846,54173,125,0.2282974,230.37639,27.73892,588.8925,-22.4828,407.8806,255.5202,0.6926232,2.304681,1.596275,0.02914137,1177.41002251547
1593,52991,21,0.2569949,143.57299,33.483016,179.2059,-19.7635,53.57196,89.98381,0.2989408,1.991535,0.5953511,0.01339446,1177.41002251547
2020,53431,233,0.2876507,189.13373,34.050707,263.923,-20.19993,196.104,134.4424,0.7430348,1.963093,1.458647,0.01378449,1177.41002251547
682,52525,504,0.2788304,354.54806,0.34601591,242.4214,-25.28176,239.0964,116.5661,0.9862842,2.07969,2.051165,0.0327045,1177.41002251547
2267,53713,179,0.1052019,121.68024,15.637557,638.7502,-13.03904,353.6447,278.2989,0.553651,2.295195,1.270737,0.02454672,1177.41002251547
2271,53726,194,0.1451789,125.16099,17.333035,418.3556,-10.39055,464.8758,213.7157,1.111198,1.957533,2.175207,0.02523993,1177.41002251547
2276,53712,524,0.06838707,128.77566,17.859595,245.6787,-8.368375,253.7634,111.228,1.032908,2.208785,2.281471,0.03505365,1177.41002251547
2269,53711,163,0.260002,123.55375,15.926056,180.5035,-15.97625,91.99972,91.04189,0.5096839,1.982642,1.010521,0.02521567,1177.41002251547
2344,53740,509,0.1183034,150.58648,26.063641,361.3782,-7.46448,1125.02,159.5105,3.113138,2.265545,7.052954,0.02804399,1177.41002251547
2662,54505,57,0.2234823,196.42906,23.708032,162.2527,-21.73338,532.7866,68.22736,3.283685,2.378117,7.808987,0.01536701,1177.41002251547
2654,54231,569,0.2652873,205.92405,22.498662,210.2292,-17.04513,275.4195,86.23672,1.310091,2.437815,3.193761,0.01249018,1177.41002251547
2656,54484,311,0.109861,180.71442,24.346066,201.4086,-9.518421,186.8714,92.33582,0.9278223,2.181262,2.023823,0.01829921,1177.41002251547
2489,53857,286,0.124493,166.42148,22.819112,757.7653,-19.11051,249.4681,352.996,0.3292156,2.146668,0.7067167,0.01640559,1177.41002251547
1725,54266,364,0.2343314,234.70198,10.31204,299.705,-13.67613,169.8906,152.7556,0.5668595,1.96199,1.112173,0.03834407,1177.41002251547
